step,accuracy,loss
0,0.0111546,35721.1
1,0.0181081,32209.6
2,0.0304216,31429.6
3,0.0582355,31001.6
4,0.0696798,30872.5
5,0.0859047,30705.3
6,0.11763,30491.8
7,0.0944517,30422.0
8,0.135014,30123.2
9,0.164132,29790.4
10,0.150514,29711.1
11,0.170795,29427.5
12,0.157033,29219.8
13,0.161959,29021.0
14,0.173113,28736.7
15,0.161669,28528.7
16,0.208895,27980.1
17,0.214834,27783.8
18,0.229465,27476.1
19,0.223091,27214.3
20,0.239751,26950.4
21,0.249022,26627.1
22,0.259742,26339.7
23,0.258873,26152.4
24,0.270462,25932.7
25,0.265682,25872.2
26,0.269593,25658.0
27,0.263219,25502.9
28,0.27307,25239.2
29,0.268434,25131.0
30,0.268724,24971.0
31,0.277416,24749.5
32,0.257859,24765.0
33,0.284224,24358.6
34,0.278719,24222.5
35,0.289005,24002.8
36,0.287991,23836.1
37,0.297407,23592.7
38,0.307692,23300.7
39,0.305374,23175.8
40,0.310445,22983.0
41,0.318267,22793.0
42,0.327394,22484.8
43,0.32102,22471.0
44,0.334492,22054.8
45,0.334347,22087.0
46,0.332754,21900.2
47,0.344488,21596.6
48,0.347385,21534.0
49,0.351586,21316.2
50,0.35796,21125.9
51,0.361437,20957.0
52,0.363755,20883.3
53,0.373895,20624.0
54,0.376648,20402.5
55,0.382008,20348.2
56,0.382298,20172.8
57,0.388527,19994.8
58,0.38983,19809.6
59,0.397508,19645.7
60,0.39606,19645.6
61,0.404896,19401.0
62,0.407069,19233.8
63,0.41156,19115.7
64,0.415472,19073.5
65,0.412285,19022.5
66,0.41721,18837.6
67,0.419962,18732.4
68,0.420832,18678.0
69,0.423004,18487.0
70,0.430972,18361.1
71,0.429668,18318.4
72,0.431841,18188.7
73,0.438795,18100.8
74,0.439229,18094.5
75,0.437636,17934.0
76,0.438505,17997.0
77,0.445024,17845.8
78,0.445893,17806.6
79,0.44343,17823.1
80,0.448211,17682.1
81,0.445603,17614.8
82,0.448935,17509.1
83,0.451398,17401.9
84,0.449949,17412.4
85,0.451543,17367.7
86,0.454006,17221.6
87,0.458786,17133.5
88,0.4598,17065.2
89,0.461683,17021.8
90,0.458207,16941.3
91,0.462697,16845.6
92,0.464581,16753.3
93,0.469071,16677.5
94,0.474431,16505.6
95,0.469796,16618.8
96,0.474142,16405.6
97,0.471969,16480.8
98,0.472693,16399.2
99,0.4711,16442.2
100,0.475445,16235.2
101,0.477184,16237.1
102,0.476604,16198.3
103,0.484717,15933.7
104,0.479212,16082.0
105,0.476749,16181.4
106,0.484427,15945.1
107,0.484717,15797.5
108,0.483703,15798.2
109,0.486455,15694.0
110,0.484427,15882.4
111,0.487179,15712.9
112,0.485731,15709.4
113,0.492539,15527.5
114,0.491815,15612.6
115,0.495871,15367.7
116,0.492105,15526.3
117,0.490946,15603.0
118,0.492974,15405.7
119,0.497899,15325.1
120,0.496885,15312.4
121,0.496596,15427.5
122,0.496451,15412.0
123,0.496306,15372.8
124,0.500797,15192.6
125,0.505577,15029.2
126,0.505432,15064.7
127,0.505432,15046.1
128,0.50268,15140.2
129,0.511372,14914.5
130,0.509489,14960.2
131,0.507461,15059.3
132,0.50804,14925.8
133,0.515138,14836.8
134,0.514124,14728.2
135,0.513255,14827.1
136,0.51369,14980.5
137,0.517311,14686.2
138,0.516297,14778.8
139,0.521223,14626.8
140,0.519339,14678.4
141,0.520353,14627.6
142,0.518615,14670.6
143,0.519339,14757.0
144,0.522671,14543.5
145,0.519919,14708.1
146,0.522816,14556.3
147,0.521802,14586.0
148,0.533391,14367.4
149,0.526438,14404.9
150,0.531653,14358.1
151,0.532088,14247.9
152,0.529625,14308.5
153,0.532812,14220.5
154,0.543387,13931.5
155,0.536868,14255.7
156,0.532957,14338.1
157,0.544546,14083.0
158,0.543242,13990.2
159,0.545415,13898.0
160,0.543822,13976.8
161,0.546139,14066.6
162,0.548892,13896.5
163,0.546864,13944.9
164,0.555411,13573.4
165,0.555121,13711.5
166,0.544256,14047.1
167,0.549326,13786.8
168,0.554976,13692.9
169,0.553383,13807.6
170,0.555266,13749.4
171,0.545415,14074.6
172,0.549037,13932.0
173,0.554976,13757.0
174,0.554107,13687.3
175,0.559612,13726.9
176,0.554831,13778.8
177,0.549616,14088.1
178,0.557004,13791.5
179,0.56671,13506.4
180,0.5557,13895.1
181,0.562219,13695.8
182,0.560916,13629.8
183,0.559901,13695.2
184,0.566131,13559.2
185,0.559467,13827.5
186,0.572215,13421.8
187,0.56642,13691.9
188,0.570332,13527.2
189,0.564392,13764.7
190,0.568159,13558.4
191,0.566276,13875.3
192,0.563378,13992.3
193,0.565986,13673.8
194,0.56729,13856.2
195,0.562654,13837.6
196,0.571346,13660.1
197,0.575257,13608.4
198,0.577285,13428.4
199,0.574388,13573.5
